id,label,name,source_url,extra/Type,extra/area,extra/Main-Task,software_id,framework_id,extra/Vendor,extra/release,hardware_id,runtime_id,extra/library
API:cublasCreate,API,cublasCreate,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixBLAS
API:cublasDestroy,API,cublasDestroy,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixBLAS
API:cublasGetAtomicsMode,API,cublasGetAtomicsMode,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixBLAS
API:cublasGetLoggerCallback,API,cublasGetLoggerCallback,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixBLAS
API:cublasGetMathMode,API,cublasGetMathMode,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixBLAS
API:cublasGetMatrix,API,cublasGetMatrix,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixBLAS
API:cublasGetMatrixAsync,API,cublasGetMatrixAsync,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixBLAS
API:cublasLtCreate,API,cublasLtCreate,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixBLASLt
API:cublasLtDestroy,API,cublasLtDestroy,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixBLASLt
API:cublasLtGetCudartVersion,API,cublasLtGetCudartVersion,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixBLASLt
API:cublasLtGetProperty,API,cublasLtGetProperty,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixBLASLt
API:cublasLtGetVersion,API,cublasLtGetVersion,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixBLASLt
API:cublasLtMatmul,API,cublasLtMatmul,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixBLASLt
API:cublasLtMatmulAlgoCapGetAttribute,API,cublasLtMatmulAlgoCapGetAttribute,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixBLASLt
API:cublasLtMatmulAlgoCheck,API,cublasLtMatmulAlgoCheck,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixBLASLt
API:ncclAllReduce,API,ncclAllReduce,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixCCL
API:ncclBroadcast,API,ncclBroadcast,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixCCL
API:ncclBcast,API,ncclBcast,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixCCL
API:ncclReduce,API,ncclReduce,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixCCL
API:ncclAllGather,API,ncclAllGather,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixCCL
API:ncclReduceScatter,API,ncclReduceScatter,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixCCL
API:ncclSend,API,ncclSend,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixCCL
API:ncclRecv,API,ncclRecv,https://support.iluvatar.com/#/ProductLine?id=1,,,,,,,,,,ixCCL
runtime:dtk24043,Runtime,DTK 24.04.3,,,,,,,,,,,
runtime:dtk25041,Runtime,DTK 25.04.1,,,,,,,,,,,
