source_id,relation,target_id
softwareinstance:roberta_fairseq_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk300
software:squeezenet,DEVELOPED_BY,author:pytorch
softwareinstance:resnest50_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
software:shufflenetv2,DEVELOPED_BY,author:paddlepaddle
softwareinstance:fairmot_pytorch,INSTANCE_OF,software:fairmot
softwareinstance:phi-3_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:moe-llava-qwen-18b_pytorch,INSTANCE_OF,software:moe-llava-qwen-18b
softwareinstance:pp-ocr-db_paddlepaddle,USES_FRAMEWORK,framework:paddlepaddle
software:xlnet,DEVELOPED_BY,author:abs
softwareinstance:autoassign_pytorch,HAS_GUIDE,guide:autoassignreadme
softwareinstance:res2net50_14w_8s_paddlepaddle,USES_FRAMEWORK,framework:paddlepaddle
softwareinstance:yolov3_paddlepaddle,INSTANCE_OF,software:yolov3
softwareinstance:baichuan2-7b_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk340
softwareinstance:googlenet_pytorch,HAS_GUIDE,guide:googlenetreadme
softwareinstance:mobilenetv3_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:gcn_paddlepaddle,USES_FRAMEWORK,framework:paddlepaddle
softwareinstance:retinaface_pytorch,INSTANCE_OF,software:retinaface
softwareinstance:danet_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk220
softwareinstance:dlrm_pytorch,INSTANCE_OF,software:dlrm
softwareinstance:rt-detr_pytorch,TRAINED_ON,dataset:coco
softwareinstance:pp-ocr-east_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk311
softwareinstance:resnet50_paddlepaddle,TRAINED_ON,dataset:imagenet
softwareinstance:alexnet_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:qwen15-14b_pytorch,TRAINED_ON,dataset:school_math
softwareinstance:hifigan_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk310
softwareinstance:ssd_pytorch,TRAINED_ON,dataset:coco
softwareinstance:hashnerf_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:inceptionv3_tensorflow,INSTANCE_OF,software:inceptionv3
softwareinstance:encnet_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:glm_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk220
software:wsld,DEVELOPED_BY,author:abs
software:internimage,DEVELOPED_BY,author:opengvlab
softwareinstance:bert_mindspore,USES_FRAMEWORK,framework:mindspore
softwareinstance:centermask2_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:ssd_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
software:deep_sort,DEVELOPED_BY,author:zqpei
softwareinstance:tacotron2_pytorch,INSTANCE_OF,software:tacotron2
softwareinstance:yolov5-sample_pytorch,INSTANCE_OF,software:yolov5-sample
softwareinstance:chatglm-6b_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:resnest14_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk220
softwareinstance:stable-diffusion-14_pytorch,HAS_GUIDE,guide:stable-diffusion-14readme
softwareinstance:stable-diffusion-3_pytorch,HAS_GUIDE,guide:stable-diffusion-3readme
softwareinstance:gpt2-medium-en_paddlepaddle,HAS_GUIDE,guide:gpt2-medium-enreadme
software:ocnet,DEVELOPED_BY,author:likely-journey
softwareinstance:xdeepfm_paddlepaddle,HAS_GUIDE,guide:xdeepfmreadme
software:retinanet,DEVELOPED_BY,author:paddlepaddle
softwareinstance:yi-vl-6b_pytorch,HAS_GUIDE,guide:yi-vl-6breadme
softwareinstance:yolov3_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk220
softwareinstance:glm_pytorch,HAS_GUIDE,guide:glmreadme
software:linknet,DEVELOPED_BY,author:likely-journey
softwareinstance:llama3_8b_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk411
